lemma	pos	def
-άδης	suffix	suffix added to a father's name to form a masculine patronymic
-άζω	suffix	Used to form verbs from nouns, adjectives, and other verbs. | Added to verb stems to create a frequentative form.
-άκις	suffix	Added to the stems of cardinal numerals, adjectives, and pronouns to form adverbs of repetition
-άλιος	suffix	(rare) an adjective-forming suffix
-άνη	suffix	suffix for instrument nouns
-άριον	suffix	neuter diminutive suffix
-άρχης	suffix	-arch (ruler, leader)
-άς	suffix	Forms nouns with participial function. | Forms nouns with collective function. | Forms designations of young animals. | Forms derivatives of nasal stems extended with -t-. | Forms abstract or collective nouns of number from numerals.
-άς	suffix	Forms feminine adjectives or nouns. | Forms female patronymics from name of father.
-άω	suffix	Forms verbs, usually from nouns in -ᾱ (-ā), -η (-ē)
-έα	suffix	forms the names of trees
-έω	suffix	Used to form verbs from nouns, adjectives and other verbs. Often, not always, added to the stems of thematic nouns or adjectives in -ος (-os).
-ήθρα	suffix	denotes an instrument or place of doing something
-ής	suffix	oxytone form of -ης (-ēs, adjective-forming suffix)
-ής	suffix	oxytone form of -ης (-ēs, proper noun-forming suffix)
-ία	suffix	Added to stems of adjectives, rarely to the stems of verbs, and even more rarely to the stems of nouns, to form feminine abstract nouns
-ίας	suffix	Suffix added to words to form a male name.
-ίδης	suffix	Suffix added to a father's name to form a masculine patronymic: son of
-ίδιον	suffix	suffixed to nouns of any gender, forms neuter diminutive nouns
-ίζω	suffix	Used to form similative verbs from nouns, adjectives and other verbs. | Used to form verbs from proper nouns of cities, demonyms, to denote: adherence to the policy of the city | Used to form verbs from proper nouns of cities, demonyms, to denote: mimicking the style and behaviour of the demonym
-ίνα	suffix	Added to masculine or neuter nouns to give a feminine form.
-ίς	suffix	oxytone form of -ῐς (-ĭs)
-ίσκος	suffix	Noun-forming diminutive suffix.
-ίτης	suffix	Suffix forming a masculine noun: one connected to, a member of; one from a particular place (demonym)
-ίτσιν	suffix	a suffix added to stems of nouns to form neuter diminutives
-ίων	suffix	(chiefly Epic) Suffix added to father's name that forms masculine patronymic, meaning "son of"
-ίων	suffix	Suffix added to some adjectival roots to form a comparative adjective: -er
-α	suffix	Earlier form of -η (-ē).
-α	suffix	Added to adjectival roots to form an adverb: -ly
-αίνω	suffix	Forms mostly stative verbs from nominal stems in -ᾰν- (-ăn-) plus Proto-Indo-European verbal suffixes *-yeti or *-yéti | Later, forms mostly factitive verbs from nouns with original n-stem | Then added to liquid consonant adjective stems | Then added to other nominal stems such as o-stem adjectives
-αινα	suffix	Added to the stem of a masculine noun to form a corresponding feminine noun.
-ακός	suffix	Added to noun stems to form adjectives: of or pertaining to, in the manner of; -ac
-ακόσιοι	suffix	hundred
-αλέος	suffix	forms adjectives from roots
-ανός	suffix	-ing, tending to | -able
-ανός	suffix	forms relational adjectives, especially from place names
-αρχία	suffix	-archy (form of government or rule)
